final_text,sentiment
shibunice service fast easy everything also food tasty delicious chicken crispy,0
excellent service amar singh next time expect discount well thanks well took care u,0
excellent excellenti first time kebab curry restaurant great experience family one best indian restaurant world trade mall jaipur ordered speacial tandoori chicken taste delicious n main course lal mass butter roti butter naan want say single word maza aa gaya service good fast courteous staff keep team kebab curry,0
according ambiance wanna give star restaurant good experience family food amazing staff polite friendly must visit,0
amazing place even better food geetika great host manager warm welcoming well,0
one best place jaipur hangout friend go date partner family get together serve best churros dimsums town ambience beautiful give royal vibe must visit place,0
must try,0
cosy cafe good food must try mezze platter humble staff good service,0
overall great experience nice taste,0
socorro good multi cusine restaurant crowne plaza beautiful ambiance big buffet many option choose choice offering multicusine buffet find everything oriental western indian italian maxican perfect place cant stop overeatenfood every thing finger licking mouth watering stomach full couldnt stop thin crust pizza tooooo yummy crispy pasta tapanyaki best part celebrating street food festival lot live counter barf gola pav bhaji chat counter dessert counter,0
awesome taste one,0
fresh paneer hawk view not proper quantity expreince really disappointed,1
place delight late night goer open till serf wide variety drink food tried papad bread platter served daal raita dip tea cart daal platter also good live music till add roof top ambience,0
took booking reaching restaurant said place already booked already booked birthday partyworst experience felt embarrassment infront guest,1
first please remove horrendous plastic plate butter paper five star property everyone expects best cutlery also remove disposable cup water food mock duck curry excellent square pizza removed menu,1
delicious food,0
shown picture actual totally different normal thali waste money priced,1
total waste poor like cooked kadhai vegetable oil spice disappointed want amount back surely not order anything brown sugar,1
black forest cheese cake combining two favorite black forest cheese cake heavenly delivery swift hit garing,0
smell pizza,1
mouth watering food,0
great come along family friend enjoyed food hospitality staf nice ambiance good food well presented nd good taste kudos team,0
sendvich spicy,0
cake distorted no gift card supposed surprise want refund awful service,1
food great taste ambience dissapointed denied zomato gold benefit six people told cant use rubbish earlier used zomato gold two people went also waited long time food get served,1
chicken curry matka chicken taste awesome loved service worker shibu polite service fast good,0
always fun go jaipur courteous service offered mr nazir outstanding helpful staff ever seen restaurant ambience place amazing important part place music make go crazy,0
ye kaisi service h refund money,1
place direct view hawa mahal visit want click picture food wasnt great maggi almost no masala cheese pasta tasted bad took close min serve maggi,1
food good service excellent,0
mutton kebab delicious chicken biryani goodservice good shebuambiance thanks shibuiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
great food really good hygiene maintained restaurant staff really cooperative including manager restaurant mr himanshu staff member sandeep,0
ordered chicken tikka pizza chicken biryani stardust equally good tasted delicious happy hospitality recieved,0
food pizza n paneer tikka served half baked informed manager not agreeing instead forcing u try thing also staff not well trained serving u food not ordered u,1
